ru,en
...она слышит слишком много...повысить дозировку...,...she's hearing too much...increase the dosage...
...сегодняшний выпуск прерывается по техническим причинам,...today's broadcast is being interrupted due to technical difficulties
"1. Сходить за продуктами
2. Дочитать книгу
3. Помыться
4. Протереть пыль
5. Не забыть поесть
6. Выпить таблетки перед сном","1. Buy groceries
2. Finish the book
3. Take a shower
4. Dust the shelves
5. Don't forget to eat
6. Take the pills before bed"
"PROJECT ANNA

game by kaie // saturnative


Спасибо за игру!","PROJECT ANNA

game by kaie // saturnative


Thank you for playing!"
"Анна! Анна, как слышно?","Anna! Anna, do you copy?"
"Анна! Они хотят забрать у тебя твой дар! Они уже поняли, что ты особенная. ",Anna! They want to take your gift away from you! They've already realized you're special.
"Анна, после сегодняшней ночи тебе будет труднее делать вид, что ты ничего не поняла.","Anna, after tonight it will be harder for you to pretend you didn't understand anything."
"Анна, послушай. Радио говорит правду. Они проводят свой эксперимент уже довольно долго. Я хочу помочь тебе. У меня получилось получить доступ к твоему компьютеру и загрузить несколько файлов. посмотри и ты всё поймёшь. Времени мало. Будь осторожна.","Anna, listen. The radio is telling the truth. They've been running their experiment for quite a while now. I want to help you. I managed to get access to your computer and upload a few files. Take a look and you'll understand everything. There's not much time. Be careful."
"Анна, сегодня тебе будет труднее отличать помехи от правды","Anna, today it will be harder for you to tell the static apart from the truth"
"Анна, ты сейчас одна?","Anna, are you alone right now?"
"Анна, это важно. НЕ ПЕЙ ТАБЛЕТКИ!","Anna, this is important. DON'T TAKE THE PILLS!"
"Анна, я на линии.","Anna, I'm on the line."
"Анна. Пожалуйста, НЕ ПЕЙ ТАБЛЕТКИ!","Anna. Please, DON'T TAKE THE PILLS!"
Анна...,Anna...
Анна: ...,Anna: ...
"Анна: Мне кажется, за мной следят.
Доктор П: Анна, постарайся успокиться. Делай глубокие вдохи и медленные выдохи, как мы делали на приёме, помнишь?
Анна: И ещё это радио... Оно говорит со мной. Говорит разные вещи
Доктор П: Не слушай его. Постарайся сосредоточиться на реальности. И не забывай принимать таблетки.
Анна: Хорошо...
","Anna: I feel like someone's watching me.
Dr. P: Anna, try to calm down. Take deep breaths in and slow breaths out, like we practiced during our session, remember?
Anna: And there's also that radio... It talks to me. It says all sorts of things
Dr. P: Don't listen to it. Try to focus on reality. And don't forget to take your pills.
Anna: Okay...
"
Анна: Что? Кто здесь?,Anna: What? Who's there?
Анна: Это…я? Похоже на мой голос...,Anna: Is that... me? It sounds like my voice...
"Антипсихотики могут уменьшать выраженность психотических симптомов, но вместе с этим нередко вызывают и побочные эффекты. У большинства таких препаратов встречаются следующие побочные эффекты:
- сонливость и заторможенность
- притупление эмоций
- трудности с концентрацией
- ощущение “тумана в голове”
- увеличение массы тела
- ухудшение памяти
- головокружение и тошнота
Не все реакции одинаковы, многое зависит от конкретного препарата и дозировки. Именно поэтому смена схемы лечения без подробного обсуждения с врачом нередко вызывает тревогу. Для этого специалистам рекомендуется предупреждать пациента о нежелательных эффектах.
","Antipsychotics can reduce the severity of psychotic symptoms, but they often come with side effects as well. Most of these medications share the following side effects:
- drowsiness and sluggishness
- blunted emotions
- difficulty concentrating
- a feeling of ""brain fog""
- weight gain
- memory impairment
- dizziness and nausea
Not everyone reacts the same way — much depends on the specific drug and dosage. That's why changing a treatment plan without a thorough discussion with a doctor often causes anxiety. This is why specialists are advised to warn patients about undesirable effects.
"
Безумие не появляется из пустоты. Кто-то всегда помогает ему выбрать форму.,Madness doesn't come from nowhere. Someone always helps it take shape.
Браузер,Browser
В МЕНЮ,TO MENU
В котором нет никого и ничего кроме забытых монолитов зданий,Where there's no one and nothing but the forgotten monoliths of buildings
В твоей голове тьма. Они пришли чтобы достать её оттуда.,There's darkness in your head. They came to pull it out.
